"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2019","11.914","13.336","14.307","11.281","","-15.21%"
"01/01/2019","14.052","18.203","19.532","11.929","","-21.62%"
"01/12/2018","17.929","15.259","21.969","14.191","","3.85%"
"01/11/2018","17.264","16.318","19.335","13.292","","1.26%"
"01/10/2018","17.050","11.548","22.471","10.934","","57.13%"
"01/09/2018","10.851","11.889","15.828","10.626","","-7.70%"
"01/08/2018","11.756","11.668","13.197","9.397","","-0.92%"
"01/07/2018","11.865","13.768","13.892","11.371","","-4.98%"
"01/06/2018","12.487","12.720","13.538","6.934","","1.88%"
"01/05/2018","12.257","12.380","13.882","10.370","","-1.22%"
"01/04/2018","12.409","16.360","17.277","10.565","","-25.28%"
"01/03/2018","16.608","14.074","17.361","11.729","","22.39%"
"01/02/2018","13.570","11.993","24.255","11.698","","9.76%"
"01/01/2018","12.363","11.255","13.385","8.987","","21.94%"
"01/12/2017","10.139","11.833","12.721","9.777","","-18.69%"
"01/11/2017","12.470","11.113","13.680","10.010","","10.51%"
"01/10/2017","11.284","11.124","12.258","10.517","","1.90%"
"01/09/2017","11.074","12.229","14.459","11.072","","-11.00%"
"01/08/2017","12.442","12.873","17.876","11.825","","-3.77%"
"01/07/2017","12.929","13.493","15.479","11.881","","-3.44%"
"01/06/2017","13.389","11.839","15.242","11.428","","12.94%"
"01/05/2017","11.855","11.500","13.654","10.647","","4.37%"
"01/04/2017","11.359","12.026","14.165","11.136","","1.40%"
"01/03/2017","11.202","12.779","13.438","7.861","","-9.65%"
"01/02/2017","12.398","13.740","13.805","10.767","","-10.11%"
"01/01/2017","13.792","13.132","14.359","12.354","","8.07%"
"01/12/2016","12.762","12.058","13.556","10.111","","1.80%"
"01/11/2016","12.536","16.315","24.221","11.780","","-20.60%"
"01/10/2016","15.789","14.903","15.934","11.792","","17.12%"
"01/09/2016","13.481","13.802","18.776","11.811","","-1.45%"
"01/08/2016","13.679","14.632","16.370","9.506","","-3.66%"
"01/07/2016","14.198","18.855","20.049","13.700","","-26.72%"
"01/06/2016","19.376","17.366","26.181","12.700","","17.30%"
"01/05/2016","16.518","18.664","19.403","16.018","","-6.91%"
"01/04/2016","17.745","16.756","19.502","15.246","","8.69%"
"01/03/2016","16.327","21.938","22.178","13.705","","-26.37%"
"01/02/2016","22.175","20.709","30.509","20.006","","7.24%"
"01/01/2016","20.678","17.451","26.518","16.757","","26.78%"
"01/12/2015","16.310","17.288","22.201","15.333","","-5.79%"
"01/11/2015","17.313","19.737","23.764","16.715","","-9.78%"
"01/10/2015","19.189","25.044","25.664","16.628","","-27.05%"
"01/09/2015","26.304","26.518","31.031","19.057","","0.86%"
"01/08/2015","26.079","15.440","33.263","14.730","","79.25%"
"01/07/2015","14.549","19.903","22.002","13.397","","-26.90%"
"01/06/2015","19.903","16.297","20.689","14.967","","30.02%"
"01/05/2015","15.308","17.604","20.654","12.105","","-15.35%"
"01/04/2015","18.084","14.409","18.664","12.318","","26.71%"
"01/03/2015","14.272","13.864","16.033","11.576","","4.88%"
"01/02/2015","13.608","14.912","17.540","12.847","","-5.06%"
"01/01/2015","14.333","14.966","17.235","13.595","","-1.70%"
